Lịch ID,Trọng số trung bình
1,14.0
2,8.4
3,10.5
4,8.4
5,8.4
6,9.0
7,10.5
8,10.5
9,10.5
10,8.4
11,10.5
12,14.0
13,10.5
14,8.4
15,14.0
16,14.0
17,10.5
18,8.4
19,10.5
20,10.5
21,10.5
22,10.5
23,14.0
24,8.4
25,8.4
26,10.5
27,10.5
28,14.0
29,9.0
30,10.5
31,14.0
32,8.4
33,11.25
34,10.5
35,10.5
36,10.5
37,10.5
38,9.0
39,8.4
40,10.5
41,8.4
42,8.4
43,10.5
44,8.4
45,8.4
46,8.4
47,8.4
48,9.0
49,8.4
50,8.4
51,10.5
52,8.4
53,10.5
54,10.5
55,8.4
56,8.4
57,8.4
58,8.4
59,9.0
60,8.4
61,10.5
62,8.4
63,8.4
64,10.5
65,8.4
66,10.5
67,8.4
68,8.4
69,10.5
70,14.0
71,8.4
72,10.5
73,14.0
74,14.0
75,8.4
76,10.5
77,8.4
78,10.5
79,9.0
80,14.0
81,8.4
82,8.4
83,8.4
84,8.4
85,10.5
86,10.5
87,8.4
88,8.4
89,11.25
90,10.5
91,8.4
92,8.4
93,10.5
94,8.4
95,10.5
96,10.5
97,8.4
98,9.0
99,8.4
100,8.4
101,8.4
102,8.4
103,10.5
104,11.25
105,10.5
106,8.4
107,10.5
108,9.0
109,8.4
110,10.5
111,10.5
112,10.5
113,10.5
114,8.4
115,8.4
116,10.5
117,10.5
118,10.5
119,14.0
120,10.5
121,10.5
122,10.5
123,8.4
124,10.5
125,9.0
126,10.5
127,8.4
128,8.4
129,8.4
130,14.0
131,10.5
132,10.5
133,8.4
134,10.5
135,10.5
136,8.4
137,11.25
138,11.25
139,8.4
140,9.0
141,10.5
142,8.4
143,10.5
144,10.5
145,8.4
146,10.5
147,8.4
148,8.4
149,8.4
150,8.4
151,8.4
152,10.5
153,8.4
154,10.5
155,10.5
156,10.5
157,10.5
158,14.0
159,8.4
160,10.5
161,10.5
162,10.5
163,8.4
164,8.4
165,8.4
166,8.4
167,9.0
168,8.4
169,10.5
170,10.5
171,8.4
172,8.4
173,8.4
174,8.4
175,8.4
176,8.4
177,8.4
178,10.5
179,10.5
180,10.5
181,8.4
182,10.5
183,8.4
184,8.4
185,7.5
186,8.4
187,8.4
188,10.5
189,8.4
190,10.5
191,10.5
192,10.5
193,8.4
194,8.4
195,10.5
196,10.5
197,10.5
198,10.5
199,9.0
200,10.5
201,10.5
202,8.4
203,10.5
204,10.5
205,8.4
206,10.5
207,8.4
208,10.5
209,14.0
210,10.5
211,8.4
212,14.0
213,10.5
214,8.4
215,10.5
216,10.5
217,8.4
218,10.5
219,8.4
220,10.5
221,8.4
222,8.4
223,10.5
224,8.4
225,8.4
226,10.5
227,8.4
228,8.4
229,10.5
230,14.0
231,8.4
232,14.0
233,10.5
234,10.5
235,10.5
236,14.0
237,14.0
238,10.5
239,10.5
240,10.5
241,10.5
242,10.5
243,8.4
244,8.4
245,8.4
246,10.5
247,14.0
248,10.5
249,8.4
250,10.5
251,10.5
252,10.5
253,8.4
254,8.4
255,10.5
256,8.4
257,8.4
258,14.0
259,10.5
260,8.4
261,8.4
262,14.0
263,10.5
264,8.4
265,8.4
266,8.4
267,10.5
268,14.0
269,7.5
270,10.5
271,10.5
272,10.5
273,10.5
274,8.4
275,10.5
276,10.5
277,10.5
278,14.0
279,10.5
280,10.5
281,10.5
282,9.0
283,10.5
284,8.4
285,10.5
286,8.4
287,10.5
288,8.4
289,8.4
290,8.4
291,10.5
292,8.4
293,10.5
294,10.5
295,10.5
296,8.4
297,10.5
298,8.4
299,8.4
300,10.5
301,8.4
302,8.4
303,8.4
304,8.4
305,8.4
306,8.4
307,8.4
308,10.5
309,7.5
310,8.4
311,8.4
312,10.5
313,7.5
314,10.5
315,8.4
316,8.4
317,8.4
318,10.5
319,10.5
320,10.5
321,10.5
322,10.5
323,10.5
324,8.4
325,10.5
326,8.4
327,8.4
328,8.4
329,10.5
330,8.4
331,10.5
332,10.5
333,8.4
334,10.5
335,10.5
336,8.4
337,10.5
338,9.0
339,10.5
340,11.25
341,8.4
342,10.5
343,14.0
344,8.4
345,8.4
346,10.5
347,8.4
348,8.4
349,10.5
350,10.5
351,10.5
352,8.4
353,14.0
354,10.5
355,8.4
356,8.4
357,14.0
358,10.5
359,10.5
360,10.5
361,14.0
362,8.4
363,10.5
364,8.4
365,10.5
366,14.0
367,8.4
368,10.5
369,8.4
370,10.5
371,10.5
372,10.5
373,8.4
374,8.4
375,10.5
376,8.4
377,8.4
378,10.5
379,10.5
380,8.4
381,10.5
382,8.4
383,8.4
384,8.4
385,10.5
386,8.4
387,10.5
388,10.5
389,10.5
390,9.0
391,7.5
392,10.5
393,10.5
394,8.4
395,10.5
396,14.0
397,8.4
398,10.5
399,9.0
400,8.4
401,8.4
402,10.5
403,8.4
404,8.4
405,14.0
406,8.4
407,10.5
408,7.5
409,10.5
410,10.5
411,8.4
412,8.4
413,8.4
414,8.4
415,7.5
416,10.5
417,14.0
