STT,Mã môn học,Tên môn học,Mã học phần,"Học phần: học trước (a), tiên quyết (b), song hành (c)",Số tín chỉ,Số tiết lý thuyết,Số tiết thực hành,Chuyên ngành,,
1,002009,Nhập môn Tin học,4203002009,,2,30,0,KHDL,,
2,003192,Kỹ năng làm việc nhóm,4203003192,,2,30,0,KHDL,,
3,003242,Giáo dục Quốc phòng và An Ninh 1,4203003242,,4,60,0,KHDL,,
4,003259,Toán cao cấp 1,4203003259,,2,30,0,KHDL,,
5,003307,Giáo dục thể chất 1,4203003307,,2,0,60,KHDL,,
6,003848,Nhập môn Lập trình,4203003848,,2,0,60,KHDL,,
7,014164,Triết học Mác - Lênin,4203014164,,3,45,0,KHDL,,
8,000941,Kỹ thuật lập trình,4203000941,003848(a),3,30,30,KHDL,,
9,002137,Hệ thống Máy tính,4203002137,,4,45,30,KHDL,,
10,003306,Giáo dục thể chất 2,4203003306,,2,0,60,KHDL,,
11,003354,Giáo dục Quốc phòng và An Ninh 2,4203003354,,4,30,60,KHDL,,
12,014165,Kinh tế chính trị Mác - Lênin,4203014165,,2,30,0,KHDL,,
13,015253,Tiếng Anh 1,4203015253,,3,45,0,KHDL,,
14,003193,Toán ứng dụng,4203003193,,3,45,0,KHDL,,
15,003240,Hàm phức và phép biến đổi Laplace,4203003240,,3,45,0,KHDL,,
16,003320,Phương pháp tính,4203003320,,3,45,0,KHDL,,
17,003345,Vật lý đại cương,4203003345,,3,45,0,KHDL,,
18,003395,Logic học,4203003395,,3,45,0,KHDL,,
19,000901,Cấu trúc rời rạc,4203000901,,3,45,0,KHDL,,
20,000942,Cấu trúc dữ liệu và giải thuật,4203000942,003848(a),4,45,30,KHDL,,
21,001146,Hệ cơ sở dữ liệu,4203001146,002009(a),4,45,30,KHDL,,
22,003288,Toán cao cấp 2,4203003288,,2,30,0,KHDL,,
23,003591,Lập trình hướng đối tượng,4203003591,003848(a),3,30,30,KHDL,,
24,015254,Tiếng Anh 2,4203015254,,3,45,0,KHDL,,
25,001103,Địa lý kinh tế,4203001103,,3,45,0,KHDL,,
26,003197,Kỹ năng xây dựng kế hoạch,4203003197,,3,45,0,KHDL,,
27,003206,Môi trường và con người,4203003206,,3,45,0,KHDL,,
28,015296,Công nghệ thông tin trong chuyển đổi số,4203015296,,3,45,0,KHDL,,
29,015299,Ứng dụng hóa học trong Công nghiệp,4203015299,,3,45,0,KHDL,,
30,015300,Ứng dụng 5S và Kaizen trong sản xuất,4203015300,,3,45,0,KHDL,,
31,001058,Mạng máy tính,4203001058,,3,45,0,KHDL,,
32,002422,Pháp luật đại cương,4203002422,,2,30,0,KHDL,,
33,003198,Phương pháp luận nghiên cứu khoa học,4203003198,,2,30,0,KHDL,,
34,014104,Nhập môn Khoa học Dữ liệu,4203014104,,3,30,30,KHDL,,
35,015410,Nhập môn Kĩ thuật Dữ liệu,4203015410,,2,15,30,KHDL,,
36,015411,Xác suất trong Khoa học Dữ liệu,4203015411,,3,30,30,KHDL,,
37,014062,Giải thuật và tối ưu hóa phân tán,4203014062,,3,30,30,KHDL,,
38,014063,Trực quan hóa dữ liệu,4203014063,,3,30,30,KHDL,,
39,014064,Đại số tuyến tính tính toán,4203014064,,3,30,30,KHDL,,
40,014106,Quá trình ngẫu nhiên,4203014106,,2,30,0,KHDL,,
41,014107,Các ngôn ngữ truy vấn cơ sở dữ liệu,4203014107,,2,30,0,KHDL,,
42,001266,Trí tuệ nhân tạo,4203001266,000901(a),3,45,0,KHDL,,
43,003347,Những vấn đề xã hội và đạo đức nghề nghiệp,4203003347,,3,45,0,KHDL,,
44,003451,Thống kê máy tính và ứng dụng,4203003451,,3,30,30,KHDL,,
45,014105,Lập trình phân tích dữ liệu,4203014105,,3,30,30,KHDL,,
46,014109,Tối ưu hóa cho Khoa học dữ liệu,4203014109,,3,30,30,KHDL,,
47,014110,Phân tích chuỗi thời gian,4203014110,,3,30,30,KHDL,,
48,014111,Kỹ thuật tài chính,4203014111,,3,30,30,KHDL,,
49,014122,Xử lý ảnh,4203014122,"000941,000942(a)",3,30,30,KHDL,,
50,003443,Khai thác dữ liệu và ứng dụng,4203003443,001146(a),3,30,30,KHDL,,
51,003501,Phát triển ứng dụng,4203003501,,3,30,30,KHDL,,
